id,section_id,name,time_start,time_end,day,created_at,updated_at
139,71,AF,16:15,18:05,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
140,71,AG,16:15,18:05,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
141,71,AH,16:15,18:05,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
142,67,AI,18:30,20:20,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
143,67,AJ,18:30,20:20,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
144,67,AK,16:15,18:05,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
145,67,AL,16:15,18:05,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
146,60,GA,17:45,18:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
147,60,GB,18:45,19:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
148,60,GC,17:45,18:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
149,60,GD,18:45,19:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
150,61,HA,17:45,18:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
151,61,HB,19:45,20:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
152,61,HC,19:45,20:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
153,61,HD,19:45,20:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
154,62,FA,17:45,18:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
155,62,FB,18:45,19:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
156,62,FC,17:45,18:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
157,62,FD,18:45,19:35,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
158,63,IA,17:45,18:35,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
159,63,IB,18:45,19:35,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
160,63,IC,17:45,18:35,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
161,63,ID,18:45,19:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
162,64,RA,17:45,18:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
163,64,RB,17:45,18:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
164,64,RC,18:45,19:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
165,64,RD,18:45,19:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
166,65,SA,17:45,18:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
167,65,SB,17:45,18:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
168,65,SC,18:45,19:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
